Machine name,Label,Parent type,Defined in,Current description,Proposed description,Security/ACL,Owner,Status,Last reviewed
EIC_Awardee,EIC Awardee,Organization,eic_config,"Organisation formally selected, funded, or recognised by the European Innovation Council (EIC) through its programmes, prizes, or official selection processes","Organisation formally selected, funded, or recognised by the European Innovation Council (EIC) through its programmes, prizes, or official selection processes.",,,Active,
EIC_Organisation,EIC Organisation,Organization,eic_config,,"An organisation created during an automatic import that is not (yet) recognised as an EIC Awardee. Promoted to EIC Awardee if and when it is confirmed as a funded/selected beneficiary.",,,Active,
Investor,Investor,Organization,eic_config,,"Investor organisation engaged with the EIC (e.g. through VentureMatch). Represented by one or more Investor Representative contacts.",,,Active,
Investor_Representative,Investor Representative,Individual,eic_config,Investor Representative,"A person representing an Investor organisation (linked via the 'Investor at' relationship).",,,Active,
EIC_Registered,EIC Awardee representative,Individual,eic_config,Contact officially listed in EIC Project database,"Contact officially listed in the EIC Project database (coordinator, LEAR, participant contact, etc.), linked to an EIC Awardee organisation via an EIC role relationship.",,,Active,
